fonte,estado,cidade,tipo_fonte,titulo,link,origem,classe,tipo,categoria,data_coleta
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Instrução Normativa,https://dio.es.gov.br/Media/dio/Documentos/PE%C3%87A_IN2026_SITE.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384104
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Feriados e Pontos facultativos,https://dio.es.gov.br/Media/dio/ARQUIVOS_PDF/diario_oficial_2026-01-23_pag_19.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384172
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Relatório cronológico - Pago,https://dio.es.gov.br/Media/dio/Relatorio_Cronologico/CRO.02%20-%20Relatório%20cronológico%20-%20Pago.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384317
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Instrução Normativa,https://dio.es.gov.br/Media/dio/Documentos/PE%C3%87A_IN2026_SITE.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384528
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Feriados e Pontos facultativos,https://dio.es.gov.br/Media/dio/ARQUIVOS_PDF/diario_oficial_2026-01-23_pag_19.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384583
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Relatório cronológico - Pago,https://dio.es.gov.br/Media/dio/Relatorio_Cronologico/CRO.02%20-%20Relatório%20cronológico%20-%20Pago.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384714
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Diário Oficial do Estado do Espírito Santo,https://dio.es.gov.br/Media/dio/ARQUIVOS_PDF/diario_oficial_2026-01-23_pag_19.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384777
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Diário Oficial do Estado do Espírito Santo,https://dio.es.gov.br/Media/dio/Documentos/CAPA_NOVA_ESPÍRITO%20SANTO_SECRETARIAS.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384786
Diário Oficial do Estado do Espírito Santo,ES,,diario_estadual,Diário Oficial do Estado do Espírito Santo,https://www.es.gov.br/Media/PortalES/PDF/constestadual2.pdf,https://dio.es.gov.br/,fonte_contexto,diario_oficial,cultura,2026-05-12T20:03:43.384937
