fonte,origem_tipo,pais,classe,titulo,tipo,fase_produto,produto,categoria,valor,score,ano,link,origem
ANCINE,federal,Brasil,noticia,ANCINE abre novo processo seletivo para estágio de nível superior,trabalho,nao identificado,nao identificado,inovacao,,-55,,https://www.gov.br/ancine/pt-br/assuntos/noticias/ancine-abre-novo-processo-seletivo-para-estagio-de-nivel-superior-6,https://www.gov.br/ancine
MinC Brasil,federal,Brasil,noticia,Institucional Institucional Apresentação Biografia da Ministra da Cultura Organograma Competências Quem é Quem Perfil Profissional Agenda de Autoridades Escritórios Estaduais do Ministério da Cultura Órgãos colegiados Atos Normativos Base jurídica Horário de Atendimento,formacao,nao identificado,formacao_mentoria,cultura,,-55,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/institucional,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Agricultura e Pecuária,outro,nao identificado,nao identificado,cultura,,-55,,https://www.gov.br/pt-br/noticias/agricultura-e-pecuaria,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Criação do Dia Nacional da Cultura Viva é debatida na Câmara,outro,nao identificado,nao identificado,cultura,,-55,,https://www.gov.br/cultura/pt-br/assuntos/noticias/criacao-do-dia-nacional-da-cultura-viva-e-debatida-na-camara,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Cultura e Esporte,outro,nao identificado,nao identificado,cultura,,-55,,https://www.gov.br/pt-br/noticias/cultura-artes-historia-e-esportes,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Forças Armadas e Defesa Civil,outro,nao identificado,nao identificado,inovacao,,-55,,https://www.gov.br/pt-br/noticias/forcas-armadas,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Notícias Notícias Serviços para o cidadão Saúde Agricultura e Pecuária Cidadania e Assistência Social Ciência e Tecnologia Comunicação Cultura e Esporte Economia e Gestão Pública Educação e Pesquisa Energia Forças Armadas e Defesa Civil Infraestrutura Justiça e Segurança Meio Ambiente Trabalho e Previdência Notícias Serviços para o cidadão Saúde Agricultura e Pecuária Cidadania e Assistência Social Ciência e Tecnologia Comunicação Cultura e Esporte Economia e Gestão Pública Educação e Pesquisa Energia Forças Armadas e Defesa Civil Infraestrutura Justiça e Segurança Meio Ambiente Trabalho e Previdência Turismo,outro,nao identificado,nao identificado,cultura,,-55,,https://www.gov.br/pt-br/noticias,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,POLÍTICA PÚBLICA Criação do Dia Nacional da Cultura Viva é debatida na Câmara,outro,nao identificado,nao identificado,cultura,,-55,,https://www.gov.br/cultura/pt-br/assuntos/noticias/criacao-do-dia-nacional-da-cultura-viva-e-debatida-na-camara,https://www.gov.br/cultura/pt-br
Prefeitura SP Cultura,municipal,Brasil,noticia,A Secretaria A Secretaria Agenda do Secretário Fale Conosco Organização Sala de Imprensa,formacao,nao identificado,formacao_mentoria,cultura,,-55,,https://capital.sp.gov.br/web/cultura/w/acesso_a_informacao/28512,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
Prefeitura SP Cultura,municipal,Brasil,noticia,Agenda do Secretário,formacao,nao identificado,formacao_mentoria,cultura,,-55,,https://www.prefeitura.sp.gov.br/web/cultura/acesso_a_informacao/agenda/,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
MinC Brasil,federal,Brasil,noticia,Agenda de Autoridades,formacao,nao identificado,formacao_mentoria,cultura,,-65,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/institucional/agenda-de-autoridades,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,CNIC aprova 481 projetos culturais e autoriza R$ 702 milhões em incentivos fiscais em Brasília,outro,nao identificado,nao identificado,cultura,R$ 702,-65,,https://www.gov.br/cultura/pt-br/assuntos/noticias/cnic-aprova-481-projetos-culturais-e-autoriza-r-702-milhoes-em-incentivos-fiscais-em-brasilia,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,LEI ROUANET CNIC aprova 481 projetos culturais e autoriza R$ 702 milhões em incentivos fiscais em Brasília,outro,nao identificado,nao identificado,cultura,R$ 702,-65,,https://www.gov.br/cultura/pt-br/assuntos/noticias/cnic-aprova-481-projetos-culturais-e-autoriza-r-702-milhoes-em-incentivos-fiscais-em-brasilia,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Mais Notícias,outro,nao identificado,nao identificado,cultura,,-65,,https://www.gov.br/cultura/pt-br/assuntos/noticias,https://www.gov.br/cultura/pt-br
Prefeitura SP Cultura,municipal,Brasil,noticia,Circuito de Cultura,outro,nao identificado,nao identificado,cultura,,-65,,https://www.prefeitura.sp.gov.br/web/cultura/w/noticias/31007,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
Prefeitura SP Cultura,municipal,Brasil,noticia,Notícias da Cultura,outro,nao identificado,nao identificado,cultura,,-65,,https://www.prefeitura.sp.gov.br/web/cultura/noticias/,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
Prefeitura SP Cultura,municipal,Brasil,noticia,Menu menu Menu menu Órgãos Públicos arrow_drop_down Secretarias Outros órgãos Subprefeituras Serviços Notícias Menu close Aumentar texto Diminuir texto Contrastar Acessibilidade Acessibilidade Mobile Órgãos Públicos chevron_right Serviços Notícias Legislação Ouvidoria Mais opções chevron_left Secretarias Outr,outro,nao identificado,nao identificado,cultura,,-70,,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
Prefeitura SP Cultura,municipal,Brasil,noticia,menu Menu do Site menu Menu do Site Acesso à Informação Participação Social Quadro de Serviços Acesso à Proteção de Dados Pessoais A Secretaria Agenda do Secretário Fale Conosco Organização Sala de Imprensa Circuito de Cultura Editais Concursos Endereços e Serviços Formação EMIA Rede Daora Piapi Piá Vocacional Jovem,formacao,nao identificado,formacao_mentoria,cultura,,-80,,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
